probe	gene
218769_s_at	ANKRA2
206029_at	ANKRD1
241414_at	ANKRD10
215504_x_at	ANKRD10-IT1
219437_s_at	ANKRD11
216550_x_at	ANKRD12
224810_s_at	ANKRD13A
227720_at	ANKRD13B
1556361_s_at	ANKRD13C
226205_at	ANKRD13D
229058_at	ANKRD16
212211_at	ANKRD17
1559406_at	ANKRD18A
233592_at	ANKRD18B
232926_x_at	ANKRD19P
221232_s_at	ANKRD2
241233_x_at	ANKRD20A11P
1566147_a_at	ANKRD20A12P
1559170_at	ANKRD20A5P
238439_at	ANKRD22
230384_at	ANKRD23
1558398_at	ANKRD24
205705_at	ANKRD26
1569996_at	ANKRD26P3
221522_at	ANKRD27
213035_at	ANKRD28
238332_at	ANKRD29
223864_at	ANKRD30A
1562292_at	ANKRD30B
1552895_a_at	ANKRD30BP2
1570474_s_at	ANKRD30BP3
1564000_at	ANKRD31
223542_at	ANKRD32
242209_at	ANKRD33
231963_at	ANKRD33B
232735_at	ANKRD34A
216073_at	ANKRD34C
231118_at	ANKRD35
214723_x_at	ANKRD36
220940_at	ANKRD36B
1556183_at	ANKRD36BP2
1555898_at	ANKRD36C
242548_x_at	ANKRD37
223532_at	ANKRD39
211717_at	ANKRD40
235778_s_at	ANKRD44
1557486_at	ANKRD44-IT1
236421_at	ANKRD45
212731_at	ANKRD46
219069_at	ANKRD49
225735_at	ANKRD50
228257_at	ANKRD52
215759_at	ANKRD53
231847_at	ANKRD54
220112_at	ANKRD55
204672_s_at	ANKRD6
234511_at	ANKRD60
1556182_x_at	ANKRD65
206112_at	ANKRD7
230972_at	ANKRD9
212747_at	ANKS1A
227440_at	ANKS1B
227303_at	ANKS3
239087_at	ANKS4B
235903_at	ANKS6
1561928_s_at	ANKUB1
218274_s_at	ANKZF1
1552619_a_at	ANLN
1555269_a_at	ANO1
218910_at	ANO10
220111_s_at	ANO2
215241_at	ANO3
236420_s_at	ANO4
229313_at	ANO5
240947_at	ANO6
241918_at	ANO7
1563549_a_at	ANO8
227393_at	ANO9
201043_s_at	ANP32A
220710_at	ANP32A-IT1
201305_x_at	ANP32B
208538_at	ANP32C
208571_at	ANP32D
208103_s_at	ANP32E
234458_at	ANPEP
224694_at	ANTXR1
225524_at	ANTXR2
201012_at	ANXA1
210143_at	ANXA10
214783_s_at	ANXA11
208323_s_at	ANXA13
213503_x_at	ANXA2
210876_at	ANXA2P1
208816_x_at	ANXA2P2
211241_at	ANXA2P3
227877_at	ANXA2R
209369_at	ANXA3
201301_s_at	ANXA4
200782_at	ANXA5
200982_s_at	ANXA6
201366_at	ANXA7
210085_s_at	ANXA9
205639_at	AOAH
203559_s_at	AOC1
207064_s_at	AOC2
204894_s_at	AOC3
216601_at	AOC4P
205083_at	AOX1
1562871_at	AOX2P
1569828_at	AP000289.6
232804_at	AP000330.8
1554940_a_at	AP000345.1
1562634_at	AP000469.2
1563107_at	AP000472.2
1561029_at	AP000475.2
219023_at	AP1AR
205423_at	AP1B1
225771_at	AP1G1
201613_s_at	AP1G2
223025_s_at	AP1M1
218261_at	AP1M2
205195_at	AP1S1
230264_s_at	AP1S2
237159_x_at	AP1S3
234068_s_at	AP2A1
212159_x_at	AP2A2
200615_s_at	AP2B1
200613_at	AP2M1
208074_s_at	AP2S1
203141_s_at	AP3B1
1570032_at	AP3B2
210974_s_at	AP3D1
222517_at	AP3M1
203410_at	AP3M2
202442_at	AP3S1
231714_s_at	AP4B1
241174_at	AP4E1
209837_at	AP4M1
235647_at	AP4S1
231858_x_at	AP5B1
222531_s_at	AP5M1
219706_at	AP5S1
209913_x_at	AP5Z1
211553_x_at	APAF1
206679_at	APBA1
209871_s_at	APBA2
215148_s_at	APBA3
202652_at	APBB1
219994_at	APBB1IP
213419_at	APBB2
204650_s_at	APBB3
215310_at	APC
217174_s_at	APC2
225016_at	APCDD1
235548_at	APCDD1L
1559433_at	APCDD1L-AS1
206350_at	APCS
201284_s_at	APEH
1559280_a_at	APELA
210027_s_at	APEX1
204408_at	APEX2
218389_s_at	APH1A
221036_s_at	APH1B
233078_at	API5
218698_at	APIP
241379_at	APLF
222856_at	APLN
213592_at	APLNR
209462_at	APLP1
208248_x_at	APLP2
228309_at	APMAP
204450_x_at	APOA1
225427_s_at	APOA1BP
219465_at	APOA2
206894_at	APOA4
224244_s_at	APOA5
205108_s_at	APOB
207158_at	APOBEC1
206160_at	APOBEC2
206632_s_at	APOBEC3B
209584_x_at	APOBEC3C
1553831_at	APOBEC3D
214994_at	APOBEC3F
204205_at	APOBEC3G
1554545_at	APOBEC4
220023_at	APOBR
213553_x_at	APOC1
231562_at	APOC2
231587_at	APOC3
201525_at	APOD
212883_at	APOE
207262_at	APOF
205216_s_at	APOH
209546_s_at	APOL1
221653_x_at	APOL2
221087_s_at	APOL3
224491_at	APOL4
220478_at	APOL5
219716_at	APOL6
221031_s_at	APOLD1
214910_s_at	APOM
221620_s_at	APOO
235433_at	APOOL
232814_x_at	APOPT1
214953_s_at	APP
202629_at	APPBP2
218158_s_at	APPL1
218218_at	APPL2
203219_s_at	APRT
222658_s_at	APTX
209047_at	AQP1
1555338_s_at	AQP10
229526_at	AQP11
240285_at	AQP2
39248_at	AQP3
210068_s_at	AQP4
1560751_at	AQP4-AS1
213611_at	AQP5
208435_s_at	AQP6
206784_at	AQP8
205568_at	AQP9
235382_at	AQPEP
212584_at	AQR
226192_at	AR
230652_at	ARAF
34206_at	ARAP1
213618_at	ARAP2
235806_at	ARAP3
210090_at	ARC
201176_s_at	ARCN1
215564_at	AREG
244137_at	AREL1
232175_at	ARF1
200011_s_at	ARF3
201096_s_at	ARF4
201526_at	ARF5
203311_s_at	ARF6
217888_s_at	ARFGAP1
211975_at	ARFGAP2
202211_at	ARFGAP3
202956_at	ARFGEF1
215931_s_at	ARFGEF2
218230_at	ARFIP1
202109_at	ARFIP2
215984_s_at	ARFRP1
206177_s_at	ARG1
203946_s_at	ARG2
222508_s_at	ARGLU1
202117_at	ARHGAP1
219431_at	ARHGAP10
204492_at	ARHGAP11A
207606_s_at	ARHGAP12
1561489_at	ARHGAP15
218076_s_at	ARHGAP17
225173_at	ARHGAP18
37577_at	ARHGAP19
1555020_a_at	ARHGAP20
241701_at	ARHGAP21
206298_at	ARHGAP22
1556459_at	ARHGAP22-IT1
226638_at	ARHGAP23
230802_at	ARHGAP24
38149_at	ARHGAP25
205068_s_at	ARHGAP26
1560856_at	ARHGAP26-AS1
225618_at	ARHGAP27
227911_at	ARHGAP28
1558280_s_at	ARHGAP29
243433_at	ARHGAP30
226056_at	ARHGAP31
203431_s_at	ARHGAP32
233885_at	ARHGAP33
229394_s_at	ARHGAP35
238047_at	ARHGAP36
227876_at	ARHGAP39
204425_at	ARHGAP4
230047_at	ARHGAP42
215232_at	ARHGAP44
235635_at	ARHGAP5
228889_at	ARHGAP5-AS1
208085_s_at	ARHGAP6
232543_x_at	ARHGAP9
201167_x_at	ARHGDIA
1555812_a_at	ARHGDIB
206888_s_at	ARHGDIG
203055_s_at	ARHGEF1
