Plate,Experiment Title,Treatment,Well,Label,Count,Area Average (um^2),Total area,,TA ave,,TA prop,TA prop,Count ave,,count prop,count prop,AA ave,,AA ave,AA ave
3,EGFR,10nM,81,G09,157,2717.318848,426619.0591,,,1733596.206,0.246089059,0.246089059,,250.6666667,0.626329787,0.626329787,,6936.531901,0.391740265,0.391740265
3,EGFR,100nM,58,E10,80,3150.162598,252013.0078,,,1733596.206,0.145370073,0.145370073,,250.6666667,0.319148936,0.319148936,,6936.531901,0.454140865,0.454140865
3,EGFR,100nM,70,F10,70,2548.924072,178424.6851,,,1733596.206,0.102921709,0.102921709,,250.6666667,0.279255319,0.279255319,,6936.531901,0.367463757,0.367463757
3,EGFR,100nM,82,G10,71,3102.839111,220301.5769,,,1733596.206,0.127077791,0.127077791,,250.6666667,0.283244681,0.283244681,,6936.531901,0.44731851,0.44731851
4,HRAS,DMSO,16,B04,300,9438.181641,2831454.492,,3285782.365,3285782.365,0.861729164,0.861729164,318,318,0.943396226,0.943396226,10372.13607,10372.13607,0.90995544,0.90995544
4,HRAS,DMSO,28,C04,378,10222.56934,3864131.209,,,3285782.365,1.176015566,1.176015566,,318,1.188679245,1.188679245,,10372.13607,0.985579949,0.985579949
4,HRAS,DMSO,40,D04,276,11455.65723,3161761.395,,,3285782.365,0.962255269,0.962255269,,318,0.867924528,0.867924528,,10372.13607,1.104464611,1.104464611
4,HRAS,0.5nM,17,B05,350,11621.23242,4067431.348,,,3285782.365,1.23788824,1.23788824,,318,1.100628931,1.100628931,,10372.13607,1.120428072,1.120428072
4,HRAS,0.5nM,29,C05,331,10735.42969,3553427.227,,,3285782.365,1.081455444,1.081455444,,318,1.040880503,1.040880503,,10372.13607,1.035025921,1.035025921
4,HRAS,0.5nM,41,D05,322,9600.783203,3091452.191,,,3285782.365,0.940857259,0.940857259,,318,1.012578616,1.012578616,,10372.13607,0.925632207,0.925632207
4,HRAS,1nM,18,B06,310,10833.88184,3358503.369,,,3285782.365,1.022132021,1.022132021,,318,0.974842767,0.974842767,,10372.13607,1.044517905,1.044517905
4,HRAS,1nM,30,C06,331,9111.223633,3015815.022,,,3285782.365,0.917837729,0.917837729,,318,1.040880503,1.040880503,,10372.13607,0.878432714,0.878432714
4,HRAS,1nM,42,D06,352,9889.959961,3481265.906,,,3285782.365,1.059493758,1.059493758,,318,1.106918239,1.106918239,,10372.13607,0.953512362,0.953512362
4,HRAS,5nM,19,B07,377,5904.253418,2225903.539,,,3285782.365,0.677434867,0.677434867,,318,1.185534591,1.185534591,,10372.13607,0.569241801,0.569241801
4,HRAS,5nM,31,C07,421,5566.682617,2343573.382,,,3285782.365,0.713246686,0.713246686,,318,1.323899371,1.323899371,,10372.13607,0.536695873,0.536695873
4,HRAS,5nM,43,D07,411,6317.956543,2596680.139,,,3285782.365,0.790277581,0.790277581,,318,1.29245283,1.29245283,,10372.13607,0.609127811,0.609127811
4,HRAS,10nM,20,B08,397,4388.69043,1742310.101,,,3285782.365,0.530257305,0.530257305,,318,1.248427673,1.248427673,,10372.13607,0.423123106,0.423123106
4,HRAS,10nM,32,C08,429,4527.67334,1942371.863,,,3285782.365,0.591144405,0.591144405,,318,1.349056604,1.349056604,,10372.13607,0.436522748,0.436522748
4,HRAS,10nM,44,D08,395,4674.646484,1846485.361,,,3285782.365,0.561962162,0.561962162,,318,1.242138365,1.242138365,,10372.13607,0.450692746,0.450692746
4,HRAS,100nM,21,B09,248,5777.529785,1432827.387,,,3285782.365,0.436068865,0.436068865,,318,0.779874214,0.779874214,,10372.13607,0.557024103,0.557024103
4,HRAS,100nM,33,C09,170,3194.430176,543053.1299,,,3285782.365,0.165273615,0.165273615,,318,0.534591195,0.534591195,,10372.13607,0.3079819,0.3079819
4,HRAS,100nM,45,D09,202,3323.13623,671273.5186,,,3285782.365,0.204296403,0.204296403,,318,0.635220126,0.635220126,,10372.13607,0.320390728,0.320390728
4,PI3K,DMSO,52,E04,222,7990.133301,1773809.593,,1954110.424,1954110.424,0.907732527,0.907732527,224.6666667,224.6666667,0.988130564,0.988130564,8676.437337,8676.437337,0.920900249,0.920900249
4,PI3K,DMSO,64,F04,218,8290.383789,1807303.666,,,1954110.424,0.924872845,0.924872845,,224.6666667,0.970326409,0.970326409,,8676.437337,0.955505522,0.955505522
4,PI3K,DMSO,76,G04,234,9748.794922,2281218.012,,,1954110.424,1.167394628,1.167394628,,224.6666667,1.041543027,1.041543027,,8676.437337,1.123594229,1.123594229
4,PI3K,0.5nM,53,E05,229,8762.546875,2006623.234,,,1954110.424,1.026873001,1.026873001,,224.6666667,1.019287834,1.019287834,,8676.437337,1.009924527,1.009924527
4,PI3K,0.5nM,65,F05,252,9219.557617,2323328.52,,,1954110.424,1.188944336,1.188944336,,224.6666667,1.121661721,1.121661721,,8676.437337,1.062597154,1.062597154
4,PI3K,0.5nM,77,G05,249,8640.939453,2151593.924,,,1954110.424,1.101060563,1.101060563,,224.6666667,1.108308605,1.108308605,,8676.437337,0.995908703,0.995908703
4,PI3K,1nM,54,E06,246,7146.520508,1758044.045,,,1954110.424,0.899664637,0.899664637,,224.6666667,1.09495549,1.09495549,,8676.437337,0.823669927,0.823669927
4,PI3K,1nM,66,F06,264,6429.187012,1697305.371,,,1954110.424,0.868582118,0.868582118,,224.6666667,1.175074184,1.175074184,,8676.437337,0.740993885,0.740993885
4,PI3K,1nM,78,G06,261,7236.950195,1888844.001,,,1954110.424,0.966600443,0.966600443,,224.6666667,1.161721068,1.161721068,,8676.437337,0.834092372,0.834092372
4,PI3K,5nM,55,E07,346,3981.877686,1377729.679,,,1954110.424,0.705041876,0.705041876,,224.6666667,1.540059347,1.540059347,,8676.437337,0.458930034,0.458930034
4,PI3K,5nM,67,F07,253,3566.775879,902394.2974,,,1954110.424,0.461792889,0.461792889,,224.6666667,1.12611276,1.12611276,,8676.437337,0.411087609,0.411087609
4,PI3K,5nM,79,G07,374,4398.555176,1645059.636,,,1954110.424,0.841845791,0.841845791,,224.6666667,1.664688427,1.664688427,,8676.437337,0.506954065,0.506954065
4,PI3K,10nM,56,E08,301,3213.537354,967274.7434,,,1954110.424,0.494994925,0.494994925,,224.6666667,1.339762611,1.339762611,,8676.437337,0.370375216,0.370375216
4,PI3K,10nM,68,F08,256,3257.985352,834044.25,,,1954110.424,0.426815312,0.426815312,,224.6666667,1.139465875,1.139465875,,8676.437337,0.375498056,0.375498056
4,PI3K,10nM,80,G08,323,4028.280518,1301134.607,,,1954110.424,0.665844976,0.665844976,,224.6666667,1.43768546,1.43768546,,8676.437337,0.464278178,0.464278178
